date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:48:16	114821/114821	---M-Z	200	added ('OK')	text/html	etag:%221c085-6267320dcb44f-gzip%22	https://techzaa.in/lahomes/admin/index.html	C:/Mes%20Sites%20Web/template5/techzaa.in/lahomes/admin/index.html	(from )
08:48:17	273/273	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Apr%202025%2007:48:25%20GMT	https://techzaa.in/robots.txt		(from )
08:48:17	128257/128257	---M-Z	200	added ('OK')	text/css	etag:%221f501-623282bf92de9-gzip%22	https://techzaa.in/lahomes/admin/assets/css/vendor.min.css	C:/Mes%20Sites%20Web/template5/techzaa.in/lahomes/admin/assets/css/vendor.min.css	(from https://techzaa.in/lahomes/admin/index.html)
08:48:18	106107/106107	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2219e7b-623282bfa378a%22	https://techzaa.in/lahomes/admin/assets/images/favicon.ico	C:/Mes%20Sites%20Web/template5/techzaa.in/lahomes/admin/assets/images/favicon.ico	(from https://techzaa.in/lahomes/admin/index.html)
08:48:18	190903/190903	---M-Z	200	added ('OK')	text/css	etag:%222e9b7-623282bf92de9-gzip%22	https://techzaa.in/lahomes/admin/assets/css/icons.min.css	C:/Mes%20Sites%20Web/template5/techzaa.in/lahomes/admin/assets/css/icons.min.css	(from https://techzaa.in/lahomes/admin/index.html)
08:48:19	934/934	---M-Z	200	added ('OK')	text/javascript	etag:%223a6-623282bfc0c4d-gzip%22	https://techzaa.in/lahomes/admin/assets/js/config.min.js	C:/Mes%20Sites%20Web/template5/techzaa.in/lahomes/admin/assets/js/config.min.js	(from https://techzaa.in/lahomes/admin/index.html)
08:48:19	426843/426843	---M-Z	200	added ('OK')	text/css	etag:%226835b-623282bf91e49-gzip%22	https://techzaa.in/lahomes/admin/assets/css/app.min.css	C:/Mes%20Sites%20Web/template5/techzaa.in/lahomes/admin/assets/css/app.min.css	(from https://techzaa.in/lahomes/admin/index.html)
08:48:19	31928/31928	---M--	200	added ('OK')	image/jpeg	etag:%227cb8-623282bfbcdcc%22	https://techzaa.in/lahomes/admin/assets/images/users/avatar-1.jpg	C:/Mes%20Sites%20Web/template5/techzaa.in/lahomes/admin/assets/images/users/avatar-1.jpg	(from https://techzaa.in/lahomes/admin/index.html)
08:48:19	18485/18485	---M--	200	added ('OK')	image/jpeg	etag:%224835-623282bfbcdcc%22	https://techzaa.in/lahomes/admin/assets/images/users/avatar-3.jpg	C:/Mes%20Sites%20Web/template5/techzaa.in/lahomes/admin/assets/images/users/avatar-3.jpg	(from https://techzaa.in/lahomes/admin/index.html)
08:48:20	21660/21660	---M--	200	added ('OK')	image/jpeg	etag:%22549c-623282bfbcdcc%22	https://techzaa.in/lahomes/admin/assets/images/users/avatar-5.jpg	C:/Mes%20Sites%20Web/template5/techzaa.in/lahomes/admin/assets/images/users/avatar-5.jpg	(from https://techzaa.in/lahomes/admin/index.html)
08:48:20	71405/71405	---M-Z	200	added ('OK')	text/html	etag:%22116ed-6267320dcd38f-gzip%22	https://techzaa.in/lahomes/admin/pages-calendar.html	C:/Mes%20Sites%20Web/template5/techzaa.in/lahomes/admin/pages-calendar.html	(from https://techzaa.in/lahomes/admin/index.html)
08:48:20	82133/82133	---M-Z	200	added ('OK')	text/html	etag:%22140d5-6267320dcd38f-gzip%22	https://techzaa.in/lahomes/admin/pages-pricing.html	C:/Mes%20Sites%20Web/template5/techzaa.in/lahomes/admin/pages-pricing.html	(from https://techzaa.in/lahomes/admin/index.html)
08:48:21	80953/80953	---M-Z	200	added ('OK')	text/html	etag:%2213c39-6267320dcd38f-gzip%22	https://techzaa.in/lahomes/admin/pages-faqs.html	C:/Mes%20Sites%20Web/template5/techzaa.in/lahomes/admin/pages-faqs.html	(from https://techzaa.in/lahomes/admin/index.html)
08:48:21	4073/4073	---M-Z	200	added ('OK')	text/html	etag:%22fe9-623282bff38d1-gzip%22	https://techzaa.in/lahomes/admin/auth-lock-screen.html	C:/Mes%20Sites%20Web/template5/techzaa.in/lahomes/admin/auth-lock-screen.html	(from https://techzaa.in/lahomes/admin/index.html)
08:48:21	5588/5588	---M-Z	200	added ('OK')	text/html	etag:%2215d4-623282bff4871-gzip%22	https://techzaa.in/lahomes/admin/auth-signin.html	C:/Mes%20Sites%20Web/template5/techzaa.in/lahomes/admin/auth-signin.html	(from https://techzaa.in/lahomes/admin/index.html)
08:48:21	4333/4333	---M--	200	added ('OK')	image/png	etag:%2210ed-623282bfa472a%22	https://techzaa.in/lahomes/admin/assets/images/logo-sm.png	C:/Mes%20Sites%20Web/template5/techzaa.in/lahomes/admin/assets/images/logo-sm.png	(from https://techzaa.in/lahomes/admin/index.html)
08:48:21	4553/4553	---M--	200	added ('OK')	image/png	etag:%2211c9-623282bfa472a%22	https://techzaa.in/lahomes/admin/assets/images/logo-dark.png	C:/Mes%20Sites%20Web/template5/techzaa.in/lahomes/admin/assets/images/logo-dark.png	(from https://techzaa.in/lahomes/admin/index.html)
